date, pm10, o3, no2, so2, co
2019/10/8, 16, 21, 32, , 
2019/10/9, 16, 20, 29, , 
2019/10/10, 12, 14, 30, , 
2019/10/11, 18, 25, 39, , 
2019/10/12, 25, 15, 26, , 
2019/10/13, 21, 14, 31, , 
2019/10/14, 28, 21, 26, , 
2019/10/15, 27, 26, 32, , 
2019/10/16, 12, 23, 31, , 
2019/10/17, 19, 22, 36, , 
2019/10/18, 23, 18, 22, , 
2019/10/19, 20, 21, 19, , 
2019/10/20, 16, 20, 23, , 
2019/10/21, 29, 2, 24, , 
2019/10/22, 39, 5, 15, , 
2019/10/23, 23, 1, 22, , 
2019/10/24, 26, 18, 32, , 
2019/10/25, 22, 17, 31, , 
2019/10/26, 25, 28, 27, , 
2019/10/27, 21, 15, 22, , 
2019/10/28, 14, 9, 16, , 
2019/10/29, 20, 17, 10, , 
2019/10/30, 15, 14, 13, , 
2019/10/31, 26, 3, 11, , 
2019/11/1, 13, 14, 30, , 
2019/11/2, 16, 24, 17, , 
2019/11/3, 13, 21, 32, , 
2019/11/4, 12, 22, 32, , 
2019/11/5, 12, 12, 33, , 
2019/11/6, 16, 9, 25, , 
2019/11/7, 20, 15, 26, , 
2019/11/8, 22, 15, 26, , 
2019/11/9, 14, 5, 18, , 
2019/11/10, 14, 7, 20, , 
2019/11/11, 16, 17, 33, , 
2019/11/12, 17, 16, 36, , 
2019/11/13, 19, 10, 20, , 
2019/11/14, 15, 10, 32, , 
2019/11/15, 29, 12, 28, , 
2019/11/16, 31, 11, 15, , 
2019/11/17, 23, 17, 33, , 
2019/11/18, 15, 7, 31, , 
2019/11/19, 31, 7, 23, , 
2019/11/20, 31, 3, 24, , 
2019/11/21, 40, 3, 16, , 
2019/11/22, 18, 12, 25, , 
2019/11/23, 12, 3, 28, , 
2019/11/24, 25, , 23, , 
2019/11/25, 35, 4, 23, , 
2019/11/26, 28, 4, 31, , 
2019/11/27, 22, 24, 28, , 
2019/11/28, 15, 23, 26, , 
2019/11/29, 14, 21, 23, , 
2019/11/30, 18, 13, 17, , 
2019/12/1, 18, 11, 29, , 
2019/12/2, 35, 16, 31, , 
2019/12/3, 28, 7, 25, , 
2019/12/4, 28, 1, 29, , 
2019/12/5, 44, 13, 39, , 
2019/12/6, 50, 26, 23, , 
2019/12/7, 26, 27, 26, , 
2019/12/8, 19, 28, 25, , 
2019/12/9, 19, 19, 30, , 
2019/12/10, 29, 12, 37, , 
2019/12/11, 29, 18, 35, , 
2019/12/12, 16, 28, 24, , 
2019/12/13, 13, 32, 16, , 
2019/12/14, 14, 26, 22, , 
2019/12/15, 14, 11, 33, , 
2019/12/16, 36, 19, 39, , 
2019/12/17, 28, 12, 38, , 
2019/12/18, 42, 1, 33, , 
2019/12/19, 41, 12, 39, , 
2019/12/20, 23, 23, 28, , 
2019/12/21, 12, 24, 20, , 
2019/12/22, 10, 24, 20, , 
2019/12/23, 9, 21, 20, , 
2019/12/24, 10, 25, 12, , 
2019/12/25, 7, 19, 20, , 
2019/12/26, 12, 14, 23, , 
2019/12/27, 16, 19, 20, , 
2019/12/28, 12, , 18, , 
2019/12/29, 17, , , , 
2019/7/1, 27, 47, 37, , 
2019/7/2, 22, 51, 31, , 
2019/7/3, 19, 55, 39, , 
2019/7/4, 22, 55, 49, , 
2019/7/5, 24, 47, 41, , 
2019/7/6, 24, 45, 28, , 
2019/7/7, 15, 27, 35, , 
2019/7/8, 22, 39, 31, , 
2019/7/9, 9, 38, 30, , 
2019/7/10, 6, 35, 39, , 
